length,based_on,box_office,budget,cinematography,country,director,distributor,editor,language,music,narration,producer,screenplay,starring,story,written_by,site,title,studio,revenues,check_rev,costs,check_costs,release_dates,release_year,release_month,release_day,stars_list,directors_list

118 minutes,,"$176,865 ",,Maryse Alberti,United States,Alex Gibney,Magnolia Pictures,Alison Ellwood,English,David Robbins,,"Bill Banowsky
Mark Cuban
Benjamin Goldhirsh
Jeff Skoll
Todd Wagner
Diane Weyermann",,,,Alex Gibney,https://en.wikipedia.org/wiki/Casino_Jack_and_the_United_States_of_Money,Casino Jack and the United States of Money,"
Jigsaw Productions
Participant Media
",176865,<type 'float'>,,,[2010-05-07 00:00:00],2010,5,7-May,[],[[Alex Gibney]]

82 minutes,"Characters created
by John Requa
Glenn Ficarra",$112.5 million,$85 million[1],Steven Poster,"United States
Australia",Brad Peyton,Warner Bros. Pictures,Julie Rogers,English,"Christopher Lennertz
Theme song:
Shirley Bassey",,"Andrew Lazar
Polly Johnsen
Greg Michael
Brent O'Connor","Ron J. Friedman
Steve Bencich","James Marsden
Nick Nolte
Christina Applegate
Katt Williams
Bette Midler
Roger Moore
Neil Patrick Harris
Chris O'Donnell
Jack McBrayer
Sean Hayes
Michael Clarke Duncan
Wallace Shawn",,,https://en.wikipedia.org/wiki/Cats_%26_Dogs:_The_Revenge_of_Kitty_Galore,"Cats & Dogs:
The Revenge of Kitty Galore","
Village Roadshow Pictures
Mad Chance
Polymorphic Pictures
",112500000,<type 'float'>,85000000,<type 'float'>,[2010-07-30 00:00:00],2010,7,30-Jul,"[[James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn], [James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Roger Moore, Neil Patrick Harris, Chris O'Donnell, Jack McBrayer, Sean Hayes, Michael Clarke Duncan, Wallace Shawn]]",[[Brad Peyton]]

87 minutes,,$200.7 million[1],$60 million[1],Julio Macat,"United States
Australia",Lawrence Guterman,Warner Bros. Pictures,"Rick W. Finney
Michael A. Stevenson",English,John Debney,,"Ed Jones
Christopher de Faria
Andrew Lazar
Craig Perry
Warren Zide",,"Jeff Goldblum
Elizabeth Perkins
Alexander Pollock",,"John Requa
Glenn Ficarra",https://en.wikipedia.org/wiki/Cats_%26_Dogs,Cats and Dogs,"
Village Roadshow Pictures
Mad Chance
Zide/Perry Productions
Rhythm and Hues Studios
",200700000,<type 'float'>,60000000,<type 'float'>,[2001-07-04 00:00:00],2001,7,4-Jul,"[[Jeff Goldblum, Elizabeth Perkins, Alexander Pollock], [Jeff Goldblum, Elizabeth Perkins, Alexander Pollock], [Jeff Goldblum, Elizabeth Perkins, Alexander Pollock]]",[[Lawrence Guterman]]

99 minutes,"The Death and Life of Charlie St. Cloud
by Ben Sherwood","$48,190,704 ",$44 million[1],Enrique Chediak,United States,Burr Steers,Universal Pictures,Padraic McKinley,English,Rolfe Kent,,"


Marc Platt
Ben Sherwood


",Craig Pearce,"


Zac Efron
Charlie Tahan
Amanda Crew
Kim Basinger
Ray Liotta
Augustus Prew
Donal Logue


",,,https://en.wikipedia.org/wiki/Charlie_St._Cloud_(film),Charlie St. Cloud,"



Relativity Media
Marc Platt Productions
Charlie Film Productions



",48190704,<type 'float'>,44000000,<type 'float'>,[2010-07-30 00:00:00],2010,7,30-Jul,"[[, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ], [, , , Zac Efron, Charlie Tahan, Amanda Crew, Kim Basinger, Ray Liotta, Augustus Prew, Donal Logue, , , ]]",[[Burr Steers]]

115 minutes,"The Voyage of the Dawn Treader
by C. S. Lewis",$415.7 million[3],$155 million[1][2][3],Dante Spinotti,"United Kingdom
United States",Michael Apted,20th Century Fox,Rick Shaine,English,David Arnold,,"Mark Johnson
Andrew Adamson
Philip Steuer","Christopher Markus
Stephen McFeely
Michael Petroni","live-action actors:
Georgie Henley
Skandar Keynes
Ben Barnes
Will Poulter
Tilda Swinton
voice actors:
Liam Neeson
Simon Pegg",,,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Voyage_of_the_Dawn_Treader,"The Chronicles of Narnia:
The Voyage of the Dawn Treader","
Walden Media
Dune Entertainment
",415700000,<type 'float'>,155000000,<type 'float'>,"[2010-11-30 00:00:00, 2010-12-09 00:00:00, 2010-12-10 00:00:00]",2010,12,10-Dec,"[[live-action actors:, Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton, voice actors:, Liam Neeson, Simon Pegg], [live-action actors:, Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton, voice actors:, Liam Neeson, Simon Pegg], [live-action actors:, Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton, voice actors:, Liam Neeson, Simon Pegg], [live-action actors:, Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton, voice actors:, Liam Neeson, Simon Pegg], [live-action actors:, Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton, voice actors:, Liam Neeson, Simon Pegg], [live-action actors:, Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton, voice actors:, Liam Neeson, Simon Pegg], [live-action actors:, Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton, voice actors:, Liam Neeson, Simon Pegg], [live-action actors:, Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton, voice actors:, Liam Neeson, Simon Pegg], [live-action actors:, Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton, voice actors:, Liam Neeson, Simon Pegg]]",[[Michael Apted]]

150 minutes,"Prince Caspian
by C. S. Lewis",$419.7 million[2],$225 million[1],Karl Walter Lindenlaub,"United Kingdom
United States",Andrew Adamson,"Walt Disney Studios
Motion Pictures",Sim Evan-Jones,English,Harry Gregson-Williams,,"Andrew Adamson
Mark Johnson
Philip Steuer","Andrew Adamson
Christopher Markus
Stephen McFeely","


Georgie Henley
Skandar Keynes
William Moseley
Anna Popplewell
Ben Barnes
Peter Dinklage
Sergio Castellitto
Eddie Izzard
Liam Neeson


",,,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_Prince_Caspian,"The Chronicles of Narnia:
Prince Caspian","
Walt Disney Pictures
Walden Media
",419700000,<type 'float'>,225000000,<type 'float'>,"[2008-05-16 00:00:00, 2008-06-26 00:00:00]",2008,6,26-Jun,"[[, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ], [, , , Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell, Ben Barnes, Peter Dinklage, Sergio Castellitto, Eddie Izzard, Liam Neeson, , , ]]",[[Andrew Adamson]]

104 minutes[1],,"$7,875,862[2]",$6 million[2],Vanja Cernjul,United States,Raymond De Felitta,Anchor Bay Films,David Leonard,English,Jan A.P. Kaczmarek,,"Raymond De Felitta
Andy Garcia
Lauren Versel
Zachary Matz",,"Andy Garcia
Julianna Margulies
Steven Strait
Emily Mortimer
Ezra Miller
Dominik Garcia-Lorido
Alan Arkin",,Raymond De Felitta,https://en.wikipedia.org/wiki/City_Island_(film),City Island,"
CineSon Entertainment
Medici Entertainment
NovaStar Digital
",7875862,<type 'float'>,6000000,<type 'float'>,"[2009-03-23 00:00:00, 2010-03-19 00:00:00]",2010,3,19-Mar,"[[Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer, Ezra Miller, Dominik Garcia-Lorido, Alan Arkin], [Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer, Ezra Miller, Dominik Garcia-Lorido, Alan Arkin], [Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer, Ezra Miller, Dominik Garcia-Lorido, Alan Arkin], [Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer, Ezra Miller, Dominik Garcia-Lorido, Alan Arkin], [Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer, Ezra Miller, Dominik Garcia-Lorido, Alan Arkin], [Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer, Ezra Miller, Dominik Garcia-Lorido, Alan Arkin], [Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer, Ezra Miller, Dominik Garcia-Lorido, Alan Arkin]]",[[Raymond De Felitta]]

106 minutes,"Clash of the Titans
by Beverley Cross",$493.2 million[1],$125 million,"Peter Menzies, Jr.","United States
United Kingdom",Louis Leterrier,Warner Bros. Pictures,"Vincent Tabaillon
Martin Walsh",English,Ramin Djawadi,,"Basil Iwanyk
Kevin De La Noy
Richard D. Zanuck","Travis Beacham
Phil Hay
Matt Manfredi","Sam Worthington
Gemma Arterton
Mads Mikkelsen
Alexa Davalos
Ralph Fiennes
Liam Neeson",,,https://en.wikipedia.org/wiki/Clash_of_the_Titans_(2010_film),Clash of the Titans,"
Legendary Pictures
The Zanuck Company
Thunder Road Pictures
",493200000,<type 'float'>,125000000,<type 'float'>,[2010-04-02 00:00:00],2010,4,2-Apr,"[[Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson], [Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Ralph Fiennes, Liam Neeson]]","[[Louis Leterrier], [Louis Leterrier]]"

118 minutes,,$41 million (North America),$15 million,Ted Moore,"


United Kingdom
United States


",Desmond Davis,United Artists,Timothy Gee,English,Laurence Rosenthal,,"


Ray Harryhausen
Charles H. Schneer


",,"


Harry Hamlin
Laurence Olivier
Judi Bowker
Maggie Smith
Burgess Meredith


",,Beverley Cross,https://en.wikipedia.org/wiki/Clash_of_the_Titans_(1981_film),Clash of the Titans,"
Metro-Goldwyn-Mayer
",41000000,<type 'float'>,15000000,<type 'float'>,"[1981-06-12 00:00:00, 1981-07-02 00:00:00]",1981,7,2-Jul,"[[, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ], [, , , Harry Hamlin, Laurence Olivier, Judi Bowker, Maggie Smith, Burgess Meredith, , , ]]",[[Desmond Davis]]

118 minutes,,"$189,416[1]",,Maryse Alberti,United States,Alex Gibney,Magnolia Pictures,Plummy Tucker,English,Peter Nashel,,"Alex Gibney
Jedd Wider
Todd Wider
Maiken Baird",,Eliot Spitzer,,,https://en.wikipedia.org/wiki/Client_9:_The_Rise_and_Fall_of_Eliot_Spitzer,Client 9: The Rise and Fall of Eliot Spitzer,,189416,<type 'float'>,,,[2010-11-05 00:00:00],2010,11,5-Nov,[[Eliot Spitzer]],[[Alex Gibney]]

113 minutes,,$4.9 million[1],$15 million[1],Roger Deakins,United States,John Wells,The Weinstein Company,Robert Frazen,English,Aaron Zigman,,"John Wells
Paula Weinstein
Claire Rudnick Polstein",,"Ben Affleck
Chris Cooper
Kevin Costner
Tommy Lee Jones",,John Wells,https://en.wikipedia.org/wiki/The_Company_Men,The Company Men,"
The Weinstein Company
Battle Mountain Films
Spring Creek Productions
",4900000,<type 'float'>,15000000,<type 'float'>,"[2010-01-22 00:00:00, 2011-01-21 00:00:00]",2011,1,21-Jan,"[[Ben Affleck, Chris Cooper, Kevin Costner, Tommy Lee Jones], [Ben Affleck, Chris Cooper, Kevin Costner, Tommy Lee Jones], [Ben Affleck, Chris Cooper, Kevin Costner, Tommy Lee Jones], [Ben Affleck, Chris Cooper, Kevin Costner, Tommy Lee Jones]]",[[John Wells]]

107 minutes,,$9.7 million[1],$12.5 million[1],Adriano Goldman,United States,Tony Goldwyn,Fox Searchlight Pictures,Jay Cassidy,English,Paul Cantelon,,"Andrew Sugerman
Andrew S. Karsch
Tony Goldwyn",,"Hilary Swank
Sam Rockwell
Minnie Driver
Melissa Leo
Peter Gallagher
Juliette Lewis",,Pamela Gray,https://en.wikipedia.org/wiki/Conviction_(2010_film),Conviction,,9700000,<type 'float'>,12500000,<type 'float'>,"[2010-09-11 00:00:00, 2010-10-15 00:00:00]",2010,10,15-Oct,"[[Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher, Juliette Lewis], [Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher, Juliette Lewis], [Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher, Juliette Lewis], [Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher, Juliette Lewis], [Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher, Juliette Lewis], [Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher, Juliette Lewis]]",[[Tony Goldwyn]]

107 minutes[1],,$55.6 million[2],$30 million[2],Dave Klein,United States,Kevin Smith,Warner Bros. Pictures,Kevin Smith,English,Harold Faltermeyer,,"


Marc E. Platt
Polly Johnsen
Michael Tadross


",,"


Bruce Willis
Tracy Morgan
Adam Brody
Kevin Pollak
Guillermo Diaz
Seann William Scott


",,"


Mark Cullen
Robb Cullen


",https://en.wikipedia.org/wiki/Cop_Out_(2010_film),Cop Out,"
Marc Platt Productions
",55600000,<type 'float'>,30000000,<type 'float'>,[2010-02-26 00:00:00],2010,2,26-Feb,"[[, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ], [, , , Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott, , , ]]",[[Kevin Smith]]

90 minutes[2],,"$288,000[3]",,"Robert Chappell
Gary Clarke
Bryan Donnell
Nick Higgins[2]",United States,Lucy Walker[1][2],Magnolia Pictures,Brad Fuller and Brian Johnson[2],English,Peter Golub[2],Gary Oldman[2] (prologue),Lawrence Bender[1][2],,,,,https://en.wikipedia.org/wiki/Countdown_to_Zero,Countdown to Zero,"
